,name,id,type,price,material,description,colors,sizes,details
10,Fine Wool Trench Coat,813997V4XP03051,Outerwear,3900,100% wool,Trench coat in fine wool.,Algae,44/46/48/50,Fine wool trench coat|Fine wool trench coat|Special label on the interior|Button and belt closure 
11,Bonded Wool Cotton Cape Coat,803623V4NN01140,Outerwear,6000,"50% wool, 45% cotton, 5% linen",Cape coat in bonded wool and cotton.,Brown Melange/Toile,44/46/48/50,Bonded wool and cotton cape coat|Bonded wool and cotton cape coat|Snap button and belt closure|Relaxed fit
12,Matt Fluid Viscose Jersey Coat,801236V4N001000,Outerwear,4550,100% viscose,Coat in matt fluid viscose jersey.,Black,46/48/50,Matt fluid viscose jersey coat|Matt fluid viscose jersey coat|Button closure|Fully lined|Regular fit
13,Bonded Leather Trench Coat,801767V4KN08207,Outerwear,11300,100% lambskin,Trench coat in bonded nappa leather.,Tobacco,44/46/48,Bonded nappa leather trench coat|Bonded nappa leather trench coat|Button and belt closure|Unlined|Regular fit
14,Split Nappa Leather Coat,803796V4LH01620,Outerwear,9900,100% calfskin,Belted coat in split nappa leather,Coin,44/48/50,Split nappa leather belted coat|Split nappa leather belted coat|Button and belt closure|Half lined|Regular fit
15,Cotton Twill Jacket,814024V4Y203008,Outerwear,2400,100% cotton,Cropped blouson in fine compact cotton twill.,Travertine,44/46/48/50,Fine compact cotton twill cropped blouson|Fine compact cotton twill cropped blouson|Button closure
16,Soft Double Cashmere Coat,804300V4NS01154,Outerwear,4900,100% cashmere,Jacket in soft double cashmere.,Charcoal,44/46/48/50/52/54,Soft double splitable cashmere jacket|Soft double splitable cashmere jacket|Button closure|Unlined|Regular fit
17,Melange Wool Coat,810407V4M001000,Outerwear,7400,"34% wool, 23% polyamide, 18% silk, 14% cotton, 11% wool alpaca",Coat in pressed melange wool.,Black,S/M/L,Pressed melange wool coat|Pressed melange wool coat|Button closure|Fully lined|Relaxed fit
18,Double Compact Cotton Frise Coat,810407V4M707278,Outerwear,5200,"52% viscose, 35% cotton, 13% polyamide",Coat in double compact cotton frise.,Flax/Beige/Black,XS/M/L,Double compact cotton frise coat|Double compact cotton frise coat|Button closure|Fully lined|Regular fit
19,Wool Duffle Coat,792954V4BQ07728,Outerwear,4300,100% wool,Hooded duffle coat realised in wool with Intrecciato leather buttons.,Acorn,44/46/48/50/52,Hooded wool duffle coat|Hooded wool duffle coat|Handmade Intrecciato leather alamari buttons|Button closure|Fully lined|Regular fit
20,Melange Wool Coat,790721V4CC01001,Outerwear,4600,100% wool,Coat in melange wool.,Black/Grey Melange,44/46/48/50,Melange wool coat|Melange wool coat|Button closure|Fully lined|Regular fit
21,Melange Wool Felt Coat,790719V4CA04030,Outerwear,3900,"80% wool, 20% polyamide",Oversized coat with signaure curved shoulder shape in melange wool felt.,Dark Navy,44/46/48/50,Melange wool felt oversized coat|Melange wool felt oversized coat|Curved shoulder shape|Button closure|Oversized fit
22,Leather Coat,799815V4E307601,Outerwear,8700,100% lambskin,Coat in lightweight nappa leather.,Bright Orange,44/46/48/50,Lightweight nappa leather coat|Lightweight nappa leather coat|Elasticated cuffs and bottom hem|Button closure|Fully lined|Relaxed fit
23,Light Cotton Twill Trench Coat,791187V4CS09281,Outerwear,3900,100% cotton,Trench coat in light cotton twill.,Desert Taupe,44/46/48/50/52,Light cotton twill trench coat|Light cotton twill trench coat|Zip closure|Lined in check cotton|Regular fit
24,Tech Cotton Blouson,785253V4D709233,Outerwear,2900,"68% polyamide, 32% cotton",Packable blouson in bi-colour tech cotton.,Desert Taupe/Oatmeal,44/46/48/50/52/54/56,Bi-color tech cotton packable blouson|Bi-color tech cotton packable blouson|Special label on the interior|Button closure|Unlined|Regular fit
25,Light Cotton Twill Blouson,791189V4CS03025,Outerwear,3200,100% cotton,Blouson with kimono back construction in light cotton twill.,Juniper,44/46/48/50/52/54,Light cotton twill blouson|Light cotton twill blouson|Kimono back construction|Zip detail at back|Zip closure|Lined in check cotton|Regular fit
26,Cotton Twill Coat,796008V2T101177,Outerwear,3350,100% cotton,Coat in fine cotton twill.,Dark Night,44/46/48/50/52,Cotton twill coat|Cotton twill coat|Triangle pocket detail|Button closure|Half-lined|Regular fit
27,Light Wool Cashmere Kimono Coat,768988V3OO01787,Outerwear,3600,"80% wool, 20% cashmere","Coat with kimono silhouette realised in soft lightweight wool cashmere with a fluid
             finish.",Peppercorn Melange,46/48/50/52,Light wool cashmere kimono coat|Light wool cashmere kimono coat|Button closure|Regular fit
28,Cotton Twill Blouson,826428V5CV09713,Outerwear,3300,100% Cotton,Blouson in fluid cotton twill with detachable Intrecciato leather collar.,Beige,44/46/48/50/52/54/56/58,Fluid cotton twill blouson|Fluid cotton twill blouson|Detachable Intrecciato leather collar|Zip closure|Checked lining|Regular fit
29,Wool Twill Bomber Jacket,820075V5C901277,Outerwear,3200,100% Wool,Oversized bomber jacket in bi-colour wool twill.,Grey/Jute Melange,44/46/48/50,Bi-color wool twill bomber jacket|Bi-color wool twill bomber jacket|Button and belt closure|Oversized fit
30,Viscose Melange Jacket,819993V5EN01317,Outerwear,3300,"87% Viscose, 13% acetate",Single breasted jacket in fluid viscose melange.,Charcoal Melange/Vulcano,44/46/48/50,Fluid viscose melange single breasted jacket|Fluid viscose melange single breasted jacket|Button closure|Checked half lining|Relaxed fit
31,Resinated Cotton Blouson,826331V5D201592,Outerwear,2150,100% Cotton,Blouson in cotton poplin with resin finish.,Vulcano,44/46/48/50/52/54/56/58,Resinated cotton poplin blouson|Resinated cotton poplin blouson|Zip closure|Unlined|Regular fit
32,Wool Subtle Stripe Jacket,820057V5C501152,Outerwear,3300,"98% Wool, 1% cotton, 1% viscose",Double breasted jacket in subtle stripe melange wool with shoulder pads.,Grey/Brown Melange,46/48/50/52,Melange wool subtle stripe double breasted jacket|Melange wool subtle stripe double breasted jacket|Shoulder pads detail|Button closure|Lined
33,Wool Subtle Chevron Jacket,820057V5C403541,Outerwear,3500,100% Wool,Double breasted jacket in subtle chevron wool with shoulder pads.,Forest/Caper Melange,44/46/48/50/52/56,Wool subtle chevron double breasted jacket|Wool subtle chevron double breasted jacket|Shoulder pads detail|Button closure|Lined
34,Colored Denim Jacket,824657V5DV09247,Outerwear,1850,100% Cotton,Jacket in coloured stone washed denim.,"Caper Stone Washed,Pale Meringue",44/46/48/50/52/54,Stone washed colored denim jacket|Stone washed colored denim jacket|Intrecciato suede back patch|Button closure|Unlined|Button closure
35,Colored Denim Jacket,824657V5DV04056,Outerwear,1850,100% Cotton,Jacket in coloured stone washed denim.,"Caper Stone Washed,Pale Meringue",44/46/48/50/52/54,Stone washed colored denim jacket|Stone washed colored denim jacket|Intrecciato suede back patch|Button closure|Unlined
36,Cotton Canvas Blouson,815332V0BT01230,Outerwear,3300,100% cotton,Blouson in double cotton canvas with Intrecciato suede detail.,Thunder,42/44/46/48/50/52,Double cotton canvas blouson|Double cotton canvas blouson|Intrecciato suede detail|Special label on the interior|Button closure|Unlined|Regular fit
