,name,id,type,price,material,description,colors,sizes,imageCount
28,Raw Bootcut Denim,6922651828296,Denim,74.0,100% cotton,"The New Raw Bootcut Denim Is Made From Deep Black 13 Oz Cotton Denim That Keeps The Look Of Raw With A Single Rinse To Reduce Dye Transfer And Shrinkage. The Color Stays Rich, The Structure Stays Sharp, And The Fabric Softens Slightly For A More Comfortable Wear From Day One. These Bootcut Denim Are Designed With Our New And Updated Bootcut Fit, Which Is Relaxed Through The Thigh And Features A Slight Flare At The Leg Opening And Are Finished With Traditional Five Pocket Denim Details.",Rinsed Black,28/29/30/31/32/33/34/36/38/40/42,7
29,Raw Skinny Denim,6922651697224,Denim,72.0,92% cotton 7% polyester 1% spandex,"The New Raw Skinny Denim Is Made From Deep Black 13 Oz Stretch Cotton Denim That Keeps The Look Of Raw With A Single Rinse To Reduce Dye Transfer And Shrinkage. The Color Stays Rich, The Structure Stays Sharp, And The Fabric Softens Slightly For A More Comfortable Wear From Day One. These Skinny Denim Are Designed With Our New And Updated Skinny Fit, Which Is Skinny Throughout For Increased Comfort And Updated Look, And Are Finished With Traditional Five Pocket Denim Details.",Rinsed Black,28/29/30/31/32/33/34/36/38/40/42,8
30,Skinny Denim,6922651533384,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Skinny Denim Are Designed With Our New And Updated Skinny Fit, Which Is Skinny Throughout For Increased Comfort And Updated Look, And Is Constructed From Stretch 13 Oz Black Cotton Denim With A Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
31,Slim Denim,6922651041864,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Slim Denim Are Designed With Our New And Updated Slim Fit, Which Is Slim Throughout For An Updated Look, And Is Constructed From 13 Oz Indigo Stretch Cotton Denim With A Light Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Light Vintage,28/29/30/31/32/33/34/36/38/40/42,8
32,Bootcut Denim,6922650976328,Denim,68.0,100% cotton,"The New Bootcut Denim Are Designed With Our New And Updated Bootcut Fit, Which Is Relaxed Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Light Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Light Blue,28/29/30/31/32/33/34/36/38/40/42,9
33,Straight Denim,6922650910792,Denim,68.0,100% cotton,"The New Straight Denim Are Designed With Our New And Updated Relaxed Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Light Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Light Blue,28/29/30/31/32/33/34/36/38/40/42,8
34,Skinny Denim,6922650878024,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Skinny Denim Are Designed With Our New And Updated Skinny Fit, Which Is Skinny Throughout For Increased Comfort And Updated Look, And Is Constructed From Stretch 13 Oz Indigo Cotton Denim With A Light Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Light Blue,28/29/30/31/32/33/34/36/38/40/42,8
35,Ultra Baggy Denim Cargo Pants,6901145108552,Denim,88.0,100% cotton,"The Ultra Baggy Denim Cargo Pants Are Designed With A New Oversized Ultra Baggy Fit, Constructed From An Olive Colored Denim With A Rinse Wash, Featuring Cargo Pockets Throughout With Snap Closures, Gusseting At The Knees, And Finished With A Button Placket.",Olive,28/29/30/31/32/33/34/36/38/40/42,7
36,Ultra Baggy & Wrinkled Denim,6897169170504,Denim,74.0,100% cotton,"The Ultra Baggy & Wrinkled Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Denim With A Vintage Wash, Featuring Standard Five Pocket Denim Details, And Finished With A Button Placket.",Blue,28/29/30/31/32/33/34/36/38/40/42,8
37,Slim Denim,6922651271240,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Slim Denim Are Designed With Our New And Updated Slim Fit, Which Is Slim Throughout For An Updated Look, And Is Constructed From 13 Oz Indigo Stretch Cotton Denim With A Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Vintage Blue,28/29/30/31/32/33/34/36/38/40/42,7
